Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -12.56261	               0
1.2500000000000e+000	      0.01990403	       0.4493894
2.5000000000000e+000	     -0.04388042	       0.2149808
3.7500000000000e+000	     -0.06431957	       0.1197464
5.0000000000000e+000	     -0.06606535	      0.08057363
6.2500000000000e+000	     -0.06556368	        0.050582
7.5000000000000e+000	     -0.07121558	      0.03301186
8.7500000000000e+000	     -0.06376331	      0.01830954
1.0000000000000e+001	     -0.06141102	     0.006111695
1.1250000000000e+001	     -0.05920452	    -0.002675022
1.2500000000000e+001	     -0.05233178	    -0.007714053
1.3750000000000e+001	     -0.04745611	     -0.01423737
1.5000000000000e+001	     -0.04297272	      -0.0209755
1.6250000000000e+001	     -0.03878215	     -0.02288811
1.7500000000000e+001	     -0.03388298	     -0.02672026
1.8750000000000e+001	     -0.03143844	     -0.02686153
2.0000000000000e+001	     -0.02501543	     -0.02696525
2.1250000000000e+001	     -0.02231247	     -0.02849773
2.2500000000000e+001	      -0.0199945	      -0.0292939
2.3750000000000e+001	     -0.01728402	     -0.02898592
2.5000000000000e+001	     -0.01308783	     -0.02849915
2.6250000000000e+001	     -0.01196359	     -0.02817505
2.7500000000000e+001	    -0.009788942	     -0.02631069
2.8750000000000e+001	    -0.008532876	      -0.0252782
3.0000000000000e+001	     -0.01223812	     -0.01956573
3.1250000000000e+001	      0.01148674	     -0.02036775
3.2500000000000e+001	     0.008841308	     -0.02305001
3.3750000000000e+001	      0.00877203	      -0.0209087
3.5000000000000e+001	      0.01015215	     -0.01927903
3.6250000000000e+001	      0.01078012	     -0.01720161
3.7500000000000e+001	      0.01189572	     -0.01414087
3.8750000000000e+001	      0.01082972	     -0.01250178
4.0000000000000e+001	      0.01024939	    -0.009840809
4.1250000000000e+001	     0.009700147	    -0.005516095
4.2500000000000e+001	     0.009094529	    -0.003005713
4.3750000000000e+001	     0.008539147	    0.0004495129
4.5000000000000e+001	     0.007939938	     0.003757467
4.6250000000000e+001	     0.007491316	     0.004805794
4.7500000000000e+001	     0.005130198	     0.007329472
4.8750000000000e+001	     0.003570671	     0.008188966
5.0000000000000e+001	   -0.0005859293	      0.01100442
5.1250000000000e+001	    -0.001162356	      0.01080121
5.2500000000000e+001	    -0.004863339	      0.01163913
5.3750000000000e+001	    -0.008901721	      0.01245056
5.5000000000000e+001	     -0.01375086	      0.01326263
5.6250000000000e+001	     -0.01985158	       0.0141634
5.7500000000000e+001	     -0.03038125	      0.01678436
5.8750000000000e+001	     -0.05110679	      0.02577244
6.0000000000000e+001	      -0.1024655	       0.1059614
6.1250000000000e+001	      0.09874398	      0.05895403
6.2500000000000e+001	      0.04182346	      0.01619434
6.3750000000000e+001	      0.02347176	       0.0106627
6.5000000000000e+001	      0.01592715	     0.007790497
6.6250000000000e+001	        0.010325	      0.00601428
6.7500000000000e+001	     0.007431085	     0.004875311
